Symbol,Name,trading_name ,Sector,,,
4061,Anaam International Holding Group,ANAAM HOLDING,Consumer Staples,,,
4160,National Agricultural Marketing Co.,THIMAR,Consumer Staples,,,
2050,Savola Group,SAVOLA GROUP,Consumer Staples,,,
2100,Wafrah for Industry and Development Co.,WAFRAH,Consumer Staples,,,
2270,Saudia Dairy and Foodstuff Co.,SADAFCO,Consumer Staples,,,
2280,Almarai Co.,ALMARAI,Consumer Staples,,,
6001,Halwani Bros. Co.,HB,Consumer Staples,,,
6010,National Agricultural Development Co.,NADEC,Consumer Staples,,,
6020,Al Gassim Investment Holding Co.,GACO,Consumer Staples,,,
6040,Tabuk Agricultural Development Co.,TADCO,Consumer Staples,,,
6050,Saudi Fisheries Co.,SFICO,Consumer Staples,,,
6060,Ash-Sharqiyah Development Co.,SHARQIYAH DEV,Consumer Staples,,,
6070,Al-Jouf Agricultural Development Co.,ALJOUF,Consumer Staples,,,
6090,Jazan Energy and Development Co.,JAZADCO,Consumer Staples,,,
2230,Saudi Chemical Co.,CHEMICAL,Health Care,,,
4002,Mouwasat Medical Services Co.,MOUWASAT,Health Care,,,
4004,Dallah Healthcare Co.,DALLAH HEALTH,Health Care,,,
4005,National Medical Care Co.,CARE,Health Care,,,
4007,Al Hammadi Company for Development and Investment,ALHAMMADI,Health Care,,,
4009,Middle East Healthcare Co.,SAUDI GERMAN HOSPTL,Health Care,,,
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,SPIMACO,Health Care,,,
1010,Riyad Bank,RIBL,Financials,,,
1020,Bank Aljazira,BJAZ,Financials,,,
1030,Saudi Investment Bank,SAIB,Financials,,,
1050,Banque Saudi Fransi,BSFR,Financials,,,
1060,Saudi British Bank,SABB,Financials,,,
1080,Arab National Bank,ANB,Financials,,,
1090,Samba Financial Group,SAMBA,Financials,,,
1120,Al Rajhi Bank,ALRAJHI,Financials,,,
1140,Bank Albilad,ALBILAD,Financials,,,
1150,Alinma Bank,ALINMA,Financials,,,
1180,National Commercial Bank,NCB,Financials,,,
2120,Saudi Advanced Industries Co.,SAIC,Financials,,,
4080,"Aseer Trading, Tourism and Manufacturing Co.",ASEER,Financials,,,
4130,Al-Baha Investment and Development Co.,ALBAHA,Financials,,,
4280,Kingdom Holding Co.,KINGDOM,Financials,,,
8010,The Company for Cooperative Insurance,TAWUNIYA,Financials,,,
8012,Aljazira Takaful Taawuni Co.,JAZIRA TAKAFUL,Financials,,,
8020,Malath Cooperative Insurance Co.,MALATH INSURANCE,Financials,,,
8030,The Mediterranean and Gulf Insurance and Reinsurance Co.,MEDGULF,Financials,,,
8040,Allianz Saudi Fransi Cooperative Insurance Co.,ALLIANZ SF,Financials,,,
8050,Salama Cooperative Insurance Co.,SALAMA,Financials,,,
8060,Walaa Cooperative Insurance Co.,WALAA,Financials,,,
8070,Arabian Shield Cooperative Insurance Co.,ARABIAN SHIELD,Financials,,,
8080,SABB Takaful Co.,SABB TAKAFUL,Financials,,,
